order_id,order_date,customer_id,customer_segment,country,product_id,category,sub_category,unit_price,quantity,discount,shipping_cost,payment_method,channel,returned,days_to_ship,order_status,revenue
O0000001,2024-10-16 03:01:00,C002254,Frequent,CA,P002419,Fashion,Men,635.77,1,0,8.14,Card,Social,N,6,Completed,635.77
O0000002,2024-08-26 08:51:00,C000054,Price-Sensitive,CA,P001139,Toys,Action Figures,237.44,4,0,3.58,Card,Organic,N,4,Completed,949.76
O0000003,2024-04-15 17:07:00,C003101,High-Value,UK,P002886,Beauty,Makeup,108.98,2,0.2,10.13,Card,Organic,N,4,Completed,174.37
O0000004,2024-01-09 05:23:00,C002911,Frequent,UK,P002188,Fashion,Women,1095.04,1,0.05,9.45,BNPL,Email,N,5,Completed,1040.29
O0000005,2023-02-27 07:52:00,C000263,New,DE,P000865,Books,Fiction,1370.14,1,0.15,11.01,Card,Organic,N,7,Completed,1164.62
O0000006,2023-05-23 07:47:00,C004599,Seasonal,AU,P001483,Toys,Dolls,332.88,5,0.1,17.27,PayPal,Paid Ads,N,2,Completed,1497.96
O0000007,2024-03-08 19:04:00,C003153,Seasonal,DE,P002787,Books,Fiction,1082.48,2,0.1,26.28,PayPal,Organic,N,2,Completed,1948.46
O0000008,2023-09-27 16:48:00,C001464,Seasonal,US,P000627,Books,Non-Fiction,564.0,1,0.2,32.29,BNPL,Email,N,1,Cancelled,451.2
O0000009,2023-11-11 07:03:00,C001974,New,US,P000284,Fashion,Accessories,1467.09,1,0,4.49,Card,Social,N,6,Returned,1467.09
O0000010,2024-07-06 23:44:00,C001648,Price-Sensitive,DE,P002120,Beauty,Fragrance,679.97,1,0,11.83,Card,Organic,N,1,Completed,679.97
O0000011,2023-03-02 07:04:00,C000258,New,US,P002741,Sports,Team Sports,730.69,1,0.15,32.74,Card,Social,N,6,Completed,621.09
O0000012,2023-04-10 21:27:00,C002903,Seasonal,DE,P000249,Electronics,Phones,606.92,1,0.2,3.82,Card,Social,N,2,Completed,485.54
O0000013,2023-09-13 02:28:00,C004509,High-Value,AU,P000969,Electronics,Phones,253.64,1,0,30.26,BNPL,Organic,Y,6,Completed,253.64
O0000014,2024-04-10 09:27:00,C005707,At-Risk,IN,P000778,Automotive,Tools,448.58,5,0.1,25.75,Card,Organic,N,7,Completed,2018.61
O0000015,2024-06-27 05:03:00,C004161,High-Value,CA,P002766,Fashion,Men,1293.42,1,0.1,8.62,Card,Email,N,5,Cancelled,1164.08
O0000016,2023-07-29 21:45:00,C002574,Frequent,DE,P001873,Home & Garden,Decor,477.68,2,0,0.33,Card,Social,N,3,Completed,955.36
O0000017,2023-05-16 11:56:00,C000564,New,UK,P001795,Books,Non-Fiction,1251.45,2,0.1,34.43,PayPal,Social,N,4,Cancelled,2252.61
O0000018,2023-04-17 04:16:00,C000946,New,AU,P001155,Home & Garden,Decor,909.22,2,0,24.06,PayPal,Social,N,0,Completed,1818.44
O0000019,2024-03-09 08:02:00,C000030,Frequent,CA,P001810,Books,Non-Fiction,829.76,1,0,3.92,BNPL,Email,N,0,Completed,829.76
O0000020,2024-08-19 17:09:00,C003521,High-Value,UK,P001466,Beauty,Skincare,319.06,1,0,12.38,Card,Paid Ads,N,2,Cancelled,319.06
O0000021,2023-08-31 05:51:00,C001451,New,US,P001687,Home & Garden,Decor,1204.34,3,0.2,8.69,Card,Direct,N,0,Completed,2890.42
O0000022,2023-08-16 06:52:00,C003771,Frequent,IN,P000097,Sports,Outdoor,991.75,1,0,30.25,Wire,Organic,N,6,Completed,991.75
O0000023,2024-07-03 10:01:00,C000945,New,UK,P000157,Home & Garden,Decor,167.06,1,0.15,27.52,Card,Affiliate,N,3,Completed,142.0
O0000024,2024-12-26 13:00:00,C004260,At-Risk,FR,P001767,Sports,Team Sports,109.61,2,0,21.81,Card,Organic,N,4,Completed,219.22
O0000025,2023-12-01 12:44:00,C002423,Price-Sensitive,CA,P002775,Toys,Dolls,1123.46,1,0.1,10.53,Card,Organic,N,6,Completed,1011.11
O0000026,2024-09-13 20:20:00,C003810,Seasonal,AU,P000696,Sports,Cycling,989.98,1,0.15,22.15,Card,Direct,N,4,Completed,841.48
O0000027,2023-07-23 04:01:00,C000379,Frequent,DE,P001698,Fashion,Accessories,1329.77,1,0.15,24.37,Card,Organic,N,0,Completed,1130.3
O0000028,2023-04-20 13:14:00,C001441,New,AU,P002284,Automotive,Accessories,377.55,3,0.05,4.67,Card,Social,N,5,Returned,1076.02
O0000029,2024-03-29 19:52:00,C005893,New,DE,P001945,Automotive,Tools,677.85,2,0.2,22.32,PayPal,Social,N,4,Completed,1084.56
O0000030,2024-12-31 09:15:00,C002226,Frequent,FR,P000618,Fashion,Women,350.74,2,0.15,7.49,Card,Organic,N,0,Completed,596.26
O0000031,2024-03-06 12:57:00,C004785,At-Risk,US,P000025,Toys,Dolls,1414.4,1,0.05,29.87,BNPL,Social,N,3,Completed,1343.68
O0000032,2023-10-07 13:31:00,C000238,Seasonal,AU,P001915,Toys,Puzzles,1379.71,5,0.1,0.94,Card,Social,Y,6,Completed,6208.7
